model,cv_rmse,cv_mae,cv_r2,test_rmse,test_mae,test_r2,model_path
linear,0.7381706745535953,0.5412526669424804,0.5914631799890862,0.7381706745535953,0.5412526669424804,0.5914631799890862,artifacts/linear.pkl
random_forest,0.6721592584218236,0.4915291308940027,0.6612634980352263,0.6721592584218236,0.4915291308940027,0.6612634980352263,artifacts/random_forest.pkl
gradient_boosting,0.4852469244760947,0.3295030295991188,0.8234599638198205,0.4852469244760947,0.3295030295991188,0.8234599638198205,artifacts/gradient_boosting.pkl
